episode,title,release_date
746,Clash of the Mightiest  Raging Monsters of the New World,"June 19, 2016"
747,The Silver Fortress  The Great Adventures of Luffy and Bart,"June 26, 2016"
748,An Underground Labyrinth  Luffy vs Mine Cart Man,"July 3, 2016"
749,The Sword Technique Heats Up! Law and Zoro Finally Appear!,"July 10, 2016"
750,A Desperate Situation - Luffy Fights a Battle in Extreme Heat,"July 17, 2016"
751,"The Start of a New Adventure - Arrival at the Mysterious Island, 'Zou'!","July 31, 2016"
752,The New Shichibukai - Son of the Legendary Whitebeard Arrives,"August 7, 2016"
753,A Deadly Elephant Climb - A Great Adventure on the Back of the Giant Elephant!,"August 21, 2016"
754,Battle Starts! Luffy vs. the Mink Tribe!,"August 28, 2016"
755,Garchu! The Straw Hat Crew Reunites,"September 4, 2016"
756,The Counterattack Begins! The Curly Hat Pirates moves out!,"September 11, 2016"
757,An Incoming Threat - Jack of the Beasts Pirates!,"September 25, 2016"
758,Ruler of Day - Enter Duke Inuarashi!,"October 2, 2016"
759,Ruler of Night - Nekomamushi Appears,"October 9, 2016"
760,Destruction of the Capital - Curly Hat Pirates Arrive on Land!,"October 16, 2016"
761,Race Against Time - The Bond of the Minks and the Crew!,"October 23, 2016"
762,The Rascal Returns Home - Yonko Big Mom's Assassin,"October 30, 2016"
763,The Truth Behind His Disappearance - Sanji's Shocking Invitation,"November 6, 2016"
764,To My Buds! Sanji's Farewell Note!,"November 13, 2016"
765,Let's Go See Master Nekomamushi,"November 20, 2016"
766,Luffy's Decision - Sanji on the Brink of Quitting!,"November 27, 2016"
767,A Volatile Situation - The Dog and the Cat and the Samurai!,"December 4, 2016"
768,"The Third One! Raizo of the Mist, the Ninja, Appears!","December 11, 2016"
769,A Red Stone! A Guide to the One Piece,"December 18, 2016"
770,The Secret of the Wano Kingdom  The Kozuki Clan and the Poneglyph,"December 25, 2016"
771,A Mans Vow  Luffy and Kozuki Momonosuke,"January 8, 2017"
772,The Legendary Journey! The Dog and the Cat and the Pirate King!,"January 15, 2017"
773,Returning Nightmare - Assault of the Invulnerable Jack,"January 22, 2017"
774,Defensive Battle of Zou - Luffy and Zunisha!,"January 29, 2017"
775,Save the Giant Elephant - The Straw Hats Rescue Operation!,"February 5, 2017"
776,Descending the Elephant  Setting Sail for Sanjis Retrieval!,"February 12, 2017"
777,To the Reverie - Princess Vivi and Princess Shirahoshi,"February 19, 2017"
778,To the Reverie - Rebecca and the Sakura Kingdom,"February 26, 2017"
779,Kaido Returns - The Worst Generation Threatened!,"March 5, 2017"
780,A Hungry Front - Luffy and the Marine Rookies!,"March 19, 2017"
781,The Persistent Trio  The Great Pursuit for the Straw Hats!,"March 26, 2017"
782,Fist of the Devil  Showdown! Luffy vs. Grant,"April 2, 2017"
783,Sanjis Homecoming! Into Big Moms Territory!,"April 9, 2017"
784,0 and 4  A Confrontation with Germa 66!,"April 16, 2017"
785,The Deadly Poison Crisis  Luffy and Reiju!,"April 23, 2017"
786,"Totto Land! One of the Yonko ""Big Mom"" Appears","April 30, 2017"
787,"The Yonkos Daughter  Sanjis Fiancée ""Pudding""","May 7, 2017"
788,A Massive Attack! Mom's Hunger Pangs,"May 14, 2017"
789,The Capital Crumbles!? Big Mom and Jinbe,"May 21, 2017"
790,The Yonko's Castle  Arrival on Whole Cake Island,"May 28, 2017"
791,The Forest of Sweets! Luffy vs. Luffy,"June 4, 2017"
792,Mom's Assassin - Luffy and the Seducing Woods!,"June 11, 2017"
793,The Seafaring Nation  Judge the King of Germa,"June 18, 2017"
794,A Showdown Between Father and Son  Judge vs. Sanji,"June 25, 2017"
795,Great Ambition  Big Mom and Caesar,"July 2, 2017"
796,Kingdom of Souls  Moms Fearsome Power!,"July 9, 2017"
797,"A Top Executive! One of the Three Commanders ""Cracker"" Appears","July 16, 2017"
798,An Enemy With 800 Million Bounty  Luffy vs. Thousand Arms Cracker,"July 23, 2017"
799,Full Force Showdown  Gear Fourth vs. Bisu Bisu Ability,"July 30, 2017"
800,1 and 2  Assemble! The Vinsmoke Family,"August 6, 2017"
801,The Benefactor's Life! Sanji and Owner Zeff!,"August 13, 2017"
802,An Angry Sanji! The Secret of Germa 66!,"August 20, 2017"
803,The Past that He Let Go of! Vinsmoke Sanji!,"August 27, 2017"
804,To East Blue - Sanji's Decision to Set Sail,"September 3, 2017"
805,A Battle of Limits - Luffy and the Infinite Biscuits!,"September 17, 2017"
806,Power of Fullness - New Gear Fourth Tankman!,"September 24, 2017"
807,Saddest Duel - Luffy vs. Sanji Part 1,"October 1, 2017"
808,Saddest Duel - Luffy vs. Sanji Part 2,"October 1, 2017"
809,A Storm of Revenge! An Enraged Army Comes to Attack!,"October 15, 2017"
810,The End of the Adventure - Sanji's Resolute Proposal,"October 22, 2017"
811,I'll Wait Here - Luffy vs. the Enraged Army,"October 29, 2017"
812,Infiltration Inside the Castle - Steal the Road Poneglyph,"November 5, 2017"
813,Face-to-face - Luffy and Big Mom,"November 12, 2017"
814,Shout of the Soul - Brook and Pedro's Lightning Operation,"November 19, 2017"
815,Farewell  Puddings Tears of Resolve,"November 26, 2017"
816,Fate of the Left Eye  Pedro vs Baron Tamago,"December 3, 2017"
817,Moist Cigarette! The Night Before Sanji's Wedding!,"December 10, 2017"
818,The Undaunted Soul - Brook vs. Big Mom,"December 17, 2017"
819,Sora's Wish! Germa's Failure - Sanji!,"December 24, 2017"
820,Sanji is Back - Luffys Great Flat-out Run Counterattack,"January 7, 2018"
821,"The Chateau in Turmoil! Luffy, to the Rendezvous!","January 14, 2018"
822,The Decision to Part! Sanji and the Straw Hat Bento,"January 21, 2018"
823,The Yonko Rolls Over - The Great Brook Rescue Mission!,"January 28, 2018"
824,"The Rendezvous! Luffy, a One-on-One at His Limit!","February 4, 2018"
825,Liar - Luffy and Sanji,"February 11, 2018"
826,Sanji Returns  Crash It! The Tea Party from Hell,"February 18, 2018"
827,A Secret Meeting! Luffy vs. The Fire Tank Pirates,"March 4, 2018"
828,The Deadly Pact! Luffy & Bege's Allied Forces,"March 18, 2018"
829,Luffys Secret Plan  Just Before the Curtain Rises! The Conspired Wedding Ceremony,"March 25, 2018"
830,Family Gathering  The Curtain Rises! The Tea Party from Hell,"April 1, 2018"
831,The Pretend Couple! Enter Sanji ? Pudding,"April 8, 2018"
832,The Kiss of Death! The Yonko Assassination Plan Begins!,"April 15, 2018"
833,Offering up a Sake Cup! Chivalrous Jinbe repays his debt!,"April 22, 2018"
834,The plan failed!? Big Mom Pirates Counterattack!,"April 29, 2018"
835,Run Sanji! SOS Germa 66!,"May 6, 2018"
836,The Mystery of Mama - The Island of Giants and the Little Beast,"May 13, 2018"
837,Mama's Birthday - The Day that Carmel has disappeared,"May 20, 2018"
838,Launchers Explosion! Big Mom Assassination Moment,"May 27, 2018"
839,Evil Army - Transformation! Germa 66,"June 3, 2018"
840,Cutting the Father-Son Relationship! Sanji and Judge!,"June 10, 2018"
841,Tea Party Escape - Luffy VS Big Mom,"June 17, 2018"
842,Execution Starts - Luffy Allied Army Annihilation !?,"June 24, 2018"
843,The Castle Collapsed - Straw Hat Pirates Begins Great Escape,"July 1, 2018"
844,The Spear of Elbaf - Onslaught! The Flying Big Mom,"July 8, 2018"
845,Puddings Resolve Blazes - The Seducing Woods,"July 15, 2018"
846,The Thunders Counterattack - Nami and the Stormy Zeus,"July 22, 2018"
847,A Coincidental Reunion - Sanji and the Evil Pudding in Love,"July 29, 2018"
848,Protecting the Sunny - Fierce Battle! Chopper and Brook,"August 5, 2018"
849,Before the Dawn - Guardians Leader Pedro,"August 12, 2018"
850,I Will Definitely Return! Luffys Life-Risking Departure,"August 19, 2018"
851,"The Man with a Bounty of Billion - The Strongest Sweet Commander, Katakuri","August 26, 2018"
852,A Hard Battle Starts - Luffy vs. Katakuri,"September 2, 2018"
853,"The Green Room - An Invincible Helmsman, Jinbe","September 16, 2018"
854,The Menacing Mogura  Luffys Silent Battle,"September 23, 2018"
855,End of Death Battle!? Katakuri's Rage Awakens,"September 30, 2018"
856,The Forbidden Secret! Katakuri's Merienda!,"October 7, 2018"
857,Luffy's Counterattack - Invincible Katakuri's Weakness,"October 14, 2018"
858,Crisis Again! Gear 4 vs Muso Donuts,"October 21, 2018"
859,"The Rebellious Daughter, Chiffon - Sanji's Big Plan for Transporting the Cake","October 28, 2018"
860,A Man's Way of Life - Bege and Luffy's Determination as Captains,"November 4, 2018"
861,The Cake Sank?! Sanji and Bege's Getaway Battle!,"November 11, 2018"
862,Sulong - Carrot's Mysterious Great Transformation,"November 18, 2018"
863,Break Through - Straw Hat Crew's Great Naval Battle!,"November 25, 2018"
864,Finally Clash - Yonko VS Straw Hat Crew,December 9. 2018
865,Dark King's Direct Precepts! The Battle Against Katakuri Turns Around!,"December 16, 2018"
866,"Finally He Returns - Sanji, the Man Who'll Stop the Yonko","December 23, 2018"
867,Lurking in the Darkness - Assassin Attacks Luffy!,"January 6, 2019"
868,A Man's Resolution - Katakuri's Life Risking Great Match,"January 13, 2019"
869,Wake Up - To Cross Over the Strongest Kenbunshoku,"January 20, 2019"
870,A God Speed Fist - New Gear 4 Activation!,"January 27, 2019"
871,Finally Concluded - An Outcome of the Fierce Battle with Katakuri,"February 3, 2019"
872,A Desperate Situation - The Iron-Tight Entrapment of Luffy!,"February 10, 2019"
873,Pulling Back from the Brink - The Formidable Reinforcements Germa!,"February 17, 2019"
874,The Last Hope - The Sun Pirates Emerge,"February 24, 2019"
875,A Fascinating Taste - Sanji's Cake of Happiness,"March 3, 2019"
876,"The Man of Humanity and Justice! Jimbei, a Desperate Massive Ocean Current","March 17, 2019"
877,Time for Farewell! Puddings One Last Request!,"March 24, 2019"
878,The World in Shock! The Fifth Emperor of the Sea Arrives!,"March 31, 2019"
879,To the Levely! Gathering of the Straw Hat Allies!,"April 7, 2019"
880,Sabo Goes into Action - All the Captains of the Revolutionary Army Appear!,"April 14, 2019"
881,The Next Move - New Obsessive Fleet Admiral Sakazuki,"April 21, 2019"
882,The Summit War - Pirate King's Inherited Will,"April 28, 2019"
883,One Step Ahead of the Dream - Shirahoshi's Path to the Sun!,"May 5, 2019"
884,I Want to See Them - Vivi and Rebecca's Feelings,"May 12, 2019"
885,Darkness of the Holy Land - The Mysterious Giant Straw Hat,"May 19, 2019"
886,The Uproarious Holy Land - Princess Shirahoshi is being targeted!,"May 26, 2019"
887,On the Verge - The Two Yonko Targeting Luffy,"June 2, 2019"
888,Sabo Gets Angry - Tragedy of the Revolutionary Army Officer Kuma,"June 9, 2019"
889,"Finally, It Starts - The Conspiracy-filled Levely!","June 16, 2019"
890,Marco! The Keeper of Whitebeard's Last Memento,"June 23, 2019"
891,Climbing Up a Waterfall! A Great Journey Through the Land of Wano's Sea Zone!,"June 30, 2019"
892,Wano Country! To the Land of Samurai where Cherry Blossoms Flutter,"July 7, 2019"
893,Otama Appears! Luffy vs. Kaido's Army!,"July 14, 2019"
894,Hell Come! The Legend of Ace in the Land of Wano,"July 21, 2019"
895,Special Edition! - The Strongest Bounty Hunter Cider,"July 28, 2019"
896,Special Editon! - Luffy Vs Carbonic Acid King,"August 4, 2019"
897,"Save O-Tama! Straw Hat, Bounding through the Wasteland!","August 11, 2019"
898,Headliner! The Magician Basil Hawkins Enters the Scene!,"August 18, 2019"
899,Confirmed Defeat! The Assault of the Strawman!,"August 25, 2019"
900,The Greatest Day! O-Tamas First Oshiruko!,"September 1, 2019"
901,Entering Enemy Territory! The Protagonists Spread into the Town of Bakura!,"September 8, 2019"
902,The Yokozuna Appears - The Invincible Urashima Goes After O-Kiku!,"September 15, 2019"
903,Sumo Battle - Straw Hat VS The Strongest Yokozuna!,"September 22, 2019"
904,Luffy's Intense Anger! Save O-Tama from the Crisis!,"September 29, 2019"
905,Fighting for Otama! Fight against Holdem!,"October 6, 2019"
906,Strike - The Magician and the Surgeon of Death!,"October 13, 2019"
907,20th Anniversary! - Special Romance Dawn,"October 20, 2019"
908,Arrival of the Treasure Ship - Luffy-tarou Returns the Favor!,"October 27, 2019"
909,A Mysterious Gravestone - Reunion at the Oden Castle Ruins!,"November 10, 2019"
910,The Legendary Samurai - A Man that Roger Favoured!,"November 17, 2019"
911,Defeat the Emperor - The Secret Raid Plan Starts,"November 24, 2019"
912,"The Strongest Man - Pillar of the Bandits, Shutenmaru!","December 1, 2019"
913,Everyone's Annihilated - Kaido's Bolo Breath of Rage!,"December 8, 2019"
914,Finally Clashing - The Ferocious Luffy vs. Kaido,"December 15, 2019"
915,"Destructive! One Shot, One Kill - Thunder Bagua!","December 22, 2019"
916,Life in Hell! Luffy's Place of Humiliation,"January 5, 2020"
917,The Holy Land in Tumult - The Yonko Blackbeard Laughts Boldly,"January 12, 2020"
918,Start of the Action - The Great Plan to Overthrow Kaido,"January 19, 2020"
919,Great Riot! Prisoner Luffy and Kid!,"January 26, 2020"
920,Great Reputation! Sanji's Specialty Soba!,"February 2, 2020"
921,"Magnificent - The Most Beautiful Woman of Wano, Komurasaki","February 9, 2020"
922,A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!,"February 16, 2020"
923,A State of Emergency - Big Mom Closes in!,"February 23, 2020"
924,The Capital in an Uproar! Another Assassin Targets Sanji!,"March 15, 2020"
925,Great Success - Justice of O-Soba Mask!,"March 22, 2020"
926,Desperate Situation - The Threatful Orochi Oniwabanshu,"March 29, 2020"
927,A State of Chaos - Fearsome Snake Shogun Orochi,"April 5, 2020"
928,The Flower Falls! The Final Moment of the Most Beautiful Woman in Wano Country,"April 12, 2020"
929,Conciliation of Prisoners - Luffy and Grandpa Hyo!,"April 19, 2020"
930,All-Star! Queen the Plague Appears!,"June 28, 2020"
931,Climb - Luffy's Fleeing Play!,"July 5, 2020"
932,Dead or Alive - Queen's Sumo Inferno,"July 12, 2020"
933,Gyukimaru! Zoro Fights a Duel on Oihagi Bridge,"July 19, 2020"
934,Great Reversal - Santoryu Beyond the Deadline !,"July 26, 2020"
935,Amazement of Zoro - True Identity of the Mysterious Beauty,"August 2, 2020"
936,"Approach - Ryuo, the Haki of Wano Country","August 9, 2020"
937,A Lame Yasu - The Star of Ebisu Town,"August 16, 2020"
938,Meet Easily - Identity of Ushimitsu Kozo,"August 23, 2020"
939,Malediction - Departure in Song of Tonoyasu,"August 30, 2020"
940,Cruelty - The Reality of SMILE Devil Fruit!,"September 6, 2020"
941,Toko's Tears - Orochi's Painful Bullets!,"September 13, 2020"
942,The Straw Hats Intrudes! Uproar! A Fierce Battle at the Execution Room,"September 20, 2020"
943,Luffys Determination - Breakthrough the Grand Sumo's Hell!,"September 27, 2020"
944,The Coming of the Storm! Big Mom's Great Rampage!,"October 4, 2020"
945,A Grudge Over Oshiruko - Luffy Gets into a Desperate Situation,"October 11, 2020"
946,Stop the Emperor of the Sea! Queen's Secret Plan!,"October 18, 2020"
947,Brutal Ammunition! The Plague Rounds Aim at Luffy!,"October 25, 2020"
948,Start Fighting Back! Luffy and the Red Scabbard Samurai!,"November 1, 2020"
949,We're Here to Win! Luffy's Desperate Scream!,"November 8, 2020"
950,The Warriors' Dreams - Takeover of Udon,"November 15, 2020"
951,Orochi's Pursuers! Ninja Army Corps vs. Zoro,"November 22, 2020"
952,Tensions on Onigashima! Encounter?! The Two Emperors,"November 29, 2020"
953,Hiyori's Confession! Reunion on Oihagi Bridge,"December 6, 2020"
954,Its Name is Enma! Oden's Meito!,"December 13, 2020"
955,A New Alliance?! Kaido's Army Great Assemble,"December 20, 2020"
956,Decisive Battle Draws Near! The Straw Hat Crew Ready for Battle,"December 27, 2020"
957,Big News! The Warlords Attack Incident,"January 10, 2021"
958,The Legendary Battle! Garp and Roger,"January 17, 2021"
959,The Promised Port! Wano Country Arc Act 3 Opening,"January 24, 2021"
960,The Best Samurai in Wano Country! Kozuki Oden Appears,"January 31, 2021"
961,Tearful Apprentice - Oden and Kin'emon,"February 7, 2021"
962,Moving Fate Drift Ashore! Whitebeard Pirates!,"February 14, 2021"
963,Oden's Determination! Whitebeard's Trials!,"February 21, 2021"
964,Whitebeard's Little Brother! Oden's Great Adventure!,"February 28, 2021"
965,Blades Crossed! Roger and Whitebeard!,"March 7, 2021"
966,Roger's Wish! A New Adventure Begins!,"March 21, 2021"
967,The Bet of a Lifetime! Roger's Adventure,"March 28, 2021"
968,The Pirate King is Born - Arriving at the Last Island!,"April 4, 2021"
969,To the Land of Wano! The Roger Pirates Disband!,"April 11, 2021"
970,Sad News - The Opening of the Great Pirate Era,"April 18, 2021"
971,Raid! Oden and the Nine Red Scabbards,"April 25, 2021"
972,The Moment of Conclusion! Oden vs. Kaido!,"May 2, 2021"
973,Sentenced to Boil - Oden's Deadly Hour,"May 9, 2021"
974,"I'm Oden, and I Was Born to Boil","May 16, 2021"
975,The Burning Castle! The Fate of the Kozuki Clan!,"May 23, 2021"
976,Back to the Present! Beyond 20 Years,"May 30, 2021"
977,Pirates at Sea! Raid! Onward to Onigashima,"June 6, 2021"
978,The Worst Generation Charges in! The Battle of the Stormy Sea,"June 13, 2021"
979,Strong Luck!? Leader Kin'emon's Plan,"June 20, 2021"
980,Promise of Tears! The Kidnapped Momonosuke,"June 27, 2021"
981,A New Companion! Knight of the Sea Jinbe!,"July 4, 2021"
982,Kaido's Trump Card - Introducing the Tobi Roppo,"July 11, 2021"
983,The Seriousness of the Samurai! The Crew Lands on Onigashima,"July 18, 2021"
984,Luffy Goes Out of Control?! Sneaking into Kaido's Banquet,"July 25, 2021"
985,Feelings Toward O-tama - Luffy's Furious Blow,"August 1, 2021"
986,Fighting Music! The Ability to Attack Luffy!,"August 8, 2021"
987,The Failing Dream? The Plot to Lure Sanji!,"August 15, 2021"
988,Arrival of Reinforcements! Captain of the Whitebeard Pirates!,"August 22, 2021"
989,Oath of Man! Fierce Battle of the Brachiotank,"August 29, 2021"
990,Thunder Bagua! The Appearance of Kaido's Son,"September 5, 2021"
991,Enemy or Ally? Luffy and Yamato!,"September 12, 2021"
992,I Want to Become Oden - Yamato's Desire,"September 19, 2021"
993,Explosive?! The Handcuffs that Shackle Yamato's Freedom!,"September 26, 2021"
994,The Scabbards Face-off - Kikunojo vs. Kanjuro,"October 3, 2021"
995,Raid! Inheriting the Will of Oden,"October 10, 2021"
996,Onigashima in Tumult- Luffy's All-Out War Begins,"October 24, 2021"
997,"Moonlight Battle - Berserker ""Sulong""","October 31, 2021"
998,The Rebellion of Zeus?! Nami's Desperate Situation!,"November 7, 2021"
999,I'll Protect You - Chance Encounter Yamato and Momonosuke,"November 14, 2021"
1000,Overwhelming Strength! The Straw Hat Pirates Gather,"November 21, 2021"
1001,A Dangerous Invitation! Plan to Eradicate Queen,"November 28, 2021"
1002,A New Connection! Nami and Ulti!,"December 5, 2021"
1003,"A Heroic Blade! The Red Scabbards vs. Kaido, Again Once More","December 12, 2021"
1004,An Inherited Technique - Unleashing Oden's Secret Swordplay,"December 19, 2021"
1005,The Power of Ice Oni! A New Version of the Excite Bullets,"January 9, 2022"
1006,I Won't Forgive You! Chopper's Determination!,"January 16, 2022"
1007,Zoro's Pursuit! Ice Oni Tag,"January 23, 2022"
1008,Nami's Surrender?! Ulti's Wild Headbutt,"January 30, 2022"
1009,Sasaki's Onslaught - Armored Division vs. Yamato,"February 6, 2022"
1010,Eliminate the Ice Oni - Chopper's Fire Trick!,"February 13, 2022"
1011,It's Not Okay!! The Spider That Lures Sanji,"February 20, 2022"
1012,A Comeback Move! Marco The Phoenix's Flame,"February 27, 2022"
1013,Yamato's Past  The Man Aiming for an Emperor's Head,"March 6, 2022"
1014,Marco's Tears! The Bond of the Whitebeard Pirates,"April 17, 2022"
1015,Straw Hat Luffy - The Man Who Will Become the Pirate King,"April 24, 2022"
1016,The Battle of the Monsters! The Three Stubborn Captains,"May 8, 2022"
1017,A Barrage of Powerful Techniques! The Fierce Attacks of the Worst Generation!,"May 15, 2022"
1018,Kaido Laughs! Four Emperors vs. New Generation!,"May 22, 2022"
1019,Otama's Secret Plan! Great Operation Kibi Dango,"May 29, 2022"
1020,Sanji's Scream! An SOS Echoes Over the Island,"June 5, 2022"
1021,Spank Strikes! Sanji's Woman-trouble!,"June 12, 2022"
1022,No Regrets - The Student and Teacher Bond Between Luffy and the Boss,"June 19, 2022"
1023,Preparations OK! Chopperphage Nebulizer,"July 3, 2022"
1024,Oden Appears! The Confused Hearts of the Red Scabbards!,"July 10, 2022"
1025,Annihilation of the Worst Generation!? The Powerful Techniques of the Four Emperors!,"July 17, 2022"
1026,The Supernovas Counterattack! The Four Emperors's Disassembly Operation,"July 24, 2022"
1027,Protect Luffy! Zoro and Law's Sword Technique,"July 31, 2022"
1028,Beyond the Four Emperors - Luffy's Iron Fist Counterattack,"August 7, 2022"
1029,A Faint Memory - Luffy and Red-Haired's Daughter Uta,"August 14, 2022"
1030,The Oath of the New Era! Luffy and Uta,"August 21, 2022"
1031,Nami's Screams - The Desperate Death Race!,"September 4, 2022"
1032,The Dawn of the Land of Wano - The All-Out Battle Heats Up!,"September 11, 2022"
1033,Settled! Luffy's Accelerating Fist of the Supreme King,"September 18, 2022"
1034,Luffy Defeated! The Straw Hats in Jeopardy?!,"September 25, 2022"
1035,The Beasts Trample Down! The End of the Kozuki Family!,"October 2, 2022"
1036,Fight Against the Dark Night! The Commander-in-Chief of the Land of Wano Sounds Off!,"October 16, 2022"
1037,Believe in Luffy! The Alliance's Counterattack Begins!,"October 23, 2022"
1038,Nami's Lethal Attack! O-Tama's Desperate Challenge!,"October 30, 2022"
1039,A Dramatic Increase of Allies! Straw Hats Fight Back!,"November 6, 2022"
1040,The Pride of a Helmsman - The Enraged Jinbe!,"November 13, 2022"
1041,Great Battle of Monsters! Yamato and Franky,"November 20, 2022"
1042,The Predator's Trap - Black Maria's Seduction,"November 27, 2022"
1043,Slash the Nightmare - Brook's Sword of Ice!,"December 4, 2022"
1044,"Clutch! A Demon Incarnate, Robin!","December 11, 2022"
1045,A Spell! Kid and Zoro Facing Threats!,"December 18, 2022"
1046,Taking a Chance! Both Wings Go into Battle!,"January 8, 2023"
1047,Ascend to the Dawn! A Pink Dragon Gets Agitated,"January 15, 2023"
1048,For the Future! Yamato and the Great Swordsmen's Pledge,"January 22, 2023"
1049,Luffy Soars! Revenge Against the King of the Beasts,"January 29, 2023"
1050,Two Dragons Face Off! Momonosuke's Determination!,"February 5, 2023"
1051,A Legend All Over Again! Luffy's Fist Roars in the Sky,"February 12, 2023"
1052,The Situation Has Grown Tense! The End of Onigashima!,"February 19, 2023"
1053,Sanji's Mutation ? The Two Arms in Crisis!,"February 26, 2023"
1054,Death to Your Partner! Killer's Deadly Gamble!,"March 19, 2023"
1055,A Shadowy Figure Pulls the Strings! Onigashima in Flames,"March 26, 2023"
1056,A Countercharge! Law and Kid's Return-Attack Combination,"April 2, 2023"
1057,For Luffy - Sanji and Zoro's Oath,"April 9, 2023"
1058,The Onslaught of Kazenbo - Orochi's Evil Clutches Close in,"April 16, 2023"
1059,Zoro's Hardship - A Monster! King the Wildfire,"April 23, 2023"
1060,Secrets of Enma! The Cursed Sword Entrusted to Zoro,"April 30, 2023"
1061,Attack of the Devil! Sanji VS Queen,"May 7, 2023"
1062,King of Hell Three Sword Style - Zoro vs. King,"May 21, 2023"
1063,Luffy Accelerates! The Turning Point of a New Era!,"May 28, 2023"
1064,Shuron Hakke! A Lawless Dragon Approaches Luffy!,"June 4, 2023"
1065,"The Destruction of the Alliance?! Fire up, the Will of the New Generation!","June 11, 2023"
1066,Here Comes Main Act! Powerful Techniques of Shockwave and Magnetism,"June 25, 2023"
1067,Towards A New Era! Conclusion! The Brats' Resolution,"July 2, 2023"
1068,Moon Princess Echoes! The Final Phase of Wano Country!,"July 9, 2023"
1069,There is Only One Winner - Luffy vs. Kaidou,"July 16, 2023"
1070,Luffy Defeated?! The Determination of the Left Behind,"July 30, 2023"
1071,Luffys Peak - Attained! Gear 5,"August 6, 2023"
1072,The Ridiculous Power! Gear 5 in Full Play,"August 13, 2023"
1073,No Escape! Inferno on Onigashima!,"August 20, 2023"
1074,Believe in Momo - Luffy's Final Big Move,"September 3, 2023"
1075,Twenty Years of Prayer! Reclaim Wano Country,"September 10, 2023"
1076,The World That Luffy Wants!,"September 17, 2023"
1077,Closing the Curtain! Winner - Straw Hat Luffy!,"September 24, 2023"
1078,"He Returns! The Shogun of Wano Country, Kozuki Momonosuke","October 1, 2023"
1079,The Morning Comes! Luffy and the Others Rest!,"October 15, 2023"
1080,A Celebration Banquet! The New Emperors of the Sea!,"October 22, 2023"
1081,The World Burns! The Navy Admiral Attack!,"October 29, 2023"
1082,The Coming of the New Era! The Red-Haired's Imperial Rage,"November 5, 2023"
1083,"The World That Moves On! A New Organization, Cross Guild","November 12, 2023"
1084,Time to Depart - Wano Country and the Straw Hats,"November 19, 2023"
1085,The Last Curtain! Luffy and Momonosuke's Vow,"November 26, 2023"
1086,A New Emperor! Buggy the Star Clown!,"December 3, 2023"
1087,The War on the Island of Women! A Case Involving Koby the Hero,"December 10, 2023"
1088,Luffy's Dream,"December 17, 2023"
1089,Entering a New Chapter! Luffy and Sabo's Paths!,"January 7, 2024"
1090,A New Island! Future Island Egghead,"January 14, 2024"
1091,Brimming with the Future! An Adventure on the Island of Science!,"January 21, 2024"
1092,Bonney's Lamentation! Darkness Lurking on the Future Island,"January 28, 2024"
1093,The Winner Takes All! Law vs. Blackbeard!,"February 11, 2024"
1094,The Mystery Deepens! Egghead Labophase,"February 18, 2024"
1095,The Brain of a Genius - Six Vegapunks!,"February 25, 2024"
1096,A Forbidden Piece of History! A Theory Concerning a Kingdom,"March 3, 2024"
1097,The Will of Ohara! The Inherited Research,"March 17, 2024"
1098,The Eccentric Dream of a Genius!,"March 24, 2024"
1099,Preparations for Interception! Rob Lucci Strikes!,"March 31, 2024"
1100,Unprecedented Power! Luffy vs Lucci!,"April 7, 2024"
1101,The Strongest Form of Humanity! The Seraphim's Abilities!,"April 21, 2024"
1102,Sinister Schemes! The Operation to Escape Egghead,"April 28, 2024"
1103,Turn Back My Father! Bonney's Futile Wish!,"May 5, 2024"
1104,A Desperate Situation! The Seraphim's All-out Attack!,"May 12, 2024"
1105,"A Beautiful Act of Treason! The Spy, Stussy","May 19, 2024"
1106,Trouble Occurs! Seek Dr. Vegapunk!,"May 26, 2024"
1107,A Shudder! The Evil Hand Creeping Up on the Laboratory,"June 2, 2024"
1108,Incomprehensible! The Seraphim's Rebellion!,"June 9, 2024"
1109,A Tough Decision! An Unusual United Front!,"June 23, 2024"
1110,Survive! Deadly Combat with the Strongest Form of Humanity!,"June 30, 2024"
1111,The Second Ohara! The Mastermind's Ambition!,"July 7, 2024"
1112,Clash! Shanks vs. Eustass Kid!,"July 14, 2024"
1113,"Run, Koby! A Desperate Escape Strategy","July 28, 2024"
1114,For the Beloved Pupil - The Fist of Vice Admiral Garp!,"August 4, 2024"
1115,"The Marines Surprised! Marine Headquarters' Former Admiral, Kuzan","August 11, 2024"
1116,Let's Go Get It! Buggy's Big Declaration,"August 18, 2024"
1117,Sabo Returns - The Shocking Truth to Be Told!,"September 1, 2024"
1118,The Holy Land in Tumult! Sai and Leo's Full-Power Blow!,"September 8, 2024"
1119,The Entrusted Message! King Cobra's Resolve,"September 15, 2024"
1120,The World is Shaken! The Ruler's Judgement and the Five Elder's Actions!,"September 22, 2024"
1121,Garp and Kuzan - A Clash of Justice Between Master and Apprentice,"October 6, 2024"
1122,The Last Lesson! Impact Inherited,"October 13, 2024"
